Car Url,Location,Views,brand,car_id,price,verify_tag,mileage,year,color,video,ask_num,car_location,seller_info,equipment,scrape_time
https://auto.8891.com.tw/usedauto-infos-3963327.html?display__sale_code=&flow_id=3b983f5c-927e-42dc-b396-d4dd37b66641,新北市,157次瀏覽,五十鈴/Isuzu,S3963327,31.8萬,Not found,7.7萬公里,2005年,藍色,N,Not found,新北市新莊區新北大道3段2之1號,8891嚴選SUM龍輝汽車商行,[],2.765017032623291
https://auto.8891.com.tw/usedauto-infos-3957526.html?display__sale_code=&flow_id=9d02273c-1c68-4eb5-9aa4-884a02570c40,高雄市,116次瀏覽,五十鈴/Isuzu,S3957526,49.8萬,N,36萬公里,2007年,藍色,N,Not found,高雄市仁武區澄觀路一段90號,阿督汽車,['中控鎖'],2.65277099609375
https://auto.8891.com.tw/usedauto-infos-3956427.html?display__sale_code=&flow_id=f3995d10-43af-4e28-b63c-016571ecee2d,台中市,392次瀏覽,五十鈴/Isuzu,S3956427,69.9萬,Not found,26萬公里,2014年,白色,N,8,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['防盜系統', '中控鎖', '安全氣囊', '倒車顯影系統']",3.323793888092041
https://auto.8891.com.tw/usedauto-infos-3956425.html?display__sale_code=&flow_id=67777102-3cb0-42e6-9a7d-80b380f6b226,台中市,386次瀏覽,五十鈴/Isuzu,S3956425,129.9萬,Not found,6萬公里,2022年,白色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['動態穩定系統', '防盜系統', '循跡系統', '中控鎖', '剎車輔助系統', 'ABS防鎖死', '倒車顯影系統', '真皮/皮革座椅']",3.8579466342926025
https://auto.8891.com.tw/usedauto-infos-3952951.html?display__sale_code=&flow_id=6eb9a44d-35e3-4f87-88bb-eaca5bc1eccd,新北市,166次瀏覽,五十鈴/Isuzu,S3952951,78.8萬,N,19萬公里,2016年,白色,N,Not found,新北市樹林區俊英街24-2,金宏汽車,[],4.185207843780518
https://auto.8891.com.tw/usedauto-infos-3952563.html?display__sale_code=&flow_id=f33d7f59-928a-4dd3-88d1-55e46ef60888,台中市,274次瀏覽,五十鈴/Isuzu,S3952563,89.9萬,Not found,29萬公里,2017年,白色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['防盜系統', '中控鎖']",4.319074869155884
https://auto.8891.com.tw/usedauto-infos-3934220.html?display__sale_code=&flow_id=f438aec9-2475-48bc-a74f-d82fc67e30bd,台中市,344次瀏覽,五十鈴/Isuzu,S3934220,103.8萬,N,8萬公里,2020年,白色,N,3,台中市霧峰區中投西路二段402號,松順汽車,[],3.847296953201294
https://auto.8891.com.tw/usedauto-infos-3950171.html?display__sale_code=&flow_id=04496577-8590-4b23-9b18-b95324a05e62,彰化縣,97次瀏覽,五十鈴/Isuzu,S3950171,39.9萬,Y,25.8萬公里,2005年,白色,Y,Not found,彰化縣溪湖鎮西溪里員鹿路二段92號,,[],3.1485769748687744
https://auto.8891.com.tw/usedauto-infos-3948841.html?display__sale_code=&flow_id=6b79e75b-5247-40db-8d4c-4cdadf7fe9ee,台中市,420次瀏覽,五十鈴/Isuzu,S3948841,199.9萬,Not found,5.9萬公里,2020年,白色,N,Not found,台中市大里區大智路812號,,"['防盜系統', '中控鎖', '剎車輔助系統', 'ABS防鎖死', '倒車顯影系統', '真皮/皮革座椅']",2.913064956665039
https://auto.8891.com.tw/usedauto-infos-3947412.html?display__sale_code=&flow_id=6962e10d-9a60-496a-a614-d7d8407e4672,高雄市,529次瀏覽,五十鈴/Isuzu,S3947412,89.8萬,Not found,13.2萬公里,2017年,白色,N,8,高雄市小港區中安路728-1號,8891嚴選SUM欣展汽車,"['防盜系統', '中控鎖', 'ABS防鎖死']",4.016998291015625
https://auto.8891.com.tw/usedauto-infos-3946796.html?display__sale_code=&flow_id=34fcdbc1-58c1-4b65-9d8d-0402de266a17,新北市,166次瀏覽,五十鈴/Isuzu,S3946796,96.8萬,N,18萬公里,2020年,白色,N,Not found,新北市林口區文化北路一段228號,奇駿汽車,[],4.609105348587036
https://auto.8891.com.tw/usedauto-infos-3939368.html?display__sale_code=&flow_id=5d8c0c93-25e0-4f27-93b2-1747cb4e23d8,台中市,191次瀏覽,五十鈴/Isuzu,S3939368,36.9萬,Not found,19萬公里,2007年,藍色,N,Not found,台中市大里區大智路812號,8891嚴選來爾富中古車商行,"['防盜系統', '中控鎖']",3.5105998516082764
https://auto.8891.com.tw/usedauto-infos-3939284.html?display__sale_code=&flow_id=c947a798-2a74-4ad8-add8-5339d503633e,新北市,174次瀏覽,五十鈴/Isuzu,S3939284,78.8萬,N,19萬公里,2016年,白色,N,Not found,新北市樹林區,- 花兒圓夢車庫,['真皮/皮革座椅'],3.380967617034912
https://auto.8891.com.tw/usedauto-infos-3937536.html?display__sale_code=&flow_id=b1c0595f-bed0-45fd-93d6-d4cf2ed613fe,高雄市,266次瀏覽,五十鈴/Isuzu,S3937536,23.8萬,N,12萬公里,2004年,白色,N,Not found,高雄市彌陀區中正東路270之5號,秉宏汽車,[],2.8196861743927
https://auto.8891.com.tw/usedauto-infos-3935842.html?display__sale_code=&flow_id=40d2c672-3cfb-4afc-8ce5-03d83bde8fdf,高雄市,212次瀏覽,五十鈴/Isuzu,S3935842,16.8萬,Not found,46.7萬公里,2002年,白色,N,3,高雄市鳥松區神農路482-1號,8891嚴選富祥汽車SAVE旗艦,"['防盜系統', '中控鎖', '真皮/皮革座椅']",2.9178006649017334
https://auto.8891.com.tw/usedauto-infos-3935772.html?display__sale_code=&flow_id=359a7b9e-8ef8-4017-a704-db46cb93c146,高雄市,177次瀏覽,五十鈴/Isuzu,S3935772,64.8萬,Y,30.33萬公里,2012年,藍色,N,3,高雄市仁武區鳳仁路82號,冠佑汽車,[],4.283428192138672
https://auto.8891.com.tw/usedauto-infos-3934264.html?display__sale_code=&flow_id=da499054-ed9c-4360-b13c-a686802a112a,新北市,121次瀏覽,五十鈴/Isuzu,S3934264,25萬,N,35萬公里,2005年,藍色,N,Not found,新北市樹林區俊英街24-2,金宏汽車,[],3.027527093887329
https://auto.8891.com.tw/usedauto-infos-3933884.html?display__sale_code=&flow_id=12126b6a-7b37-4406-8e90-3cbdaddc4f99,台北市,219次瀏覽,五十鈴/Isuzu,S3933884,電洽,N,20萬公里,2015年,白色,N,Not found,台北市士林區延平北路六段458號,俊安汽車,"['中控鎖', '倒車雷達', '真皮/皮革座椅']",2.7494168281555176
https://auto.8891.com.tw/usedauto-infos-3933150.html?display__sale_code=&flow_id=8082f564-59cf-4866-b606-51880838c6e2,台中市,230次瀏覽,五十鈴/Isuzu,S3933150,119萬,N,7萬公里,2020年,藍色,N,Not found,台中市潭子區崇德路四段277-3號,雙福汽車,['中控鎖'],2.7639198303222656
https://auto.8891.com.tw/usedauto-infos-3933148.html?display__sale_code=&flow_id=7fb86204-d2c5-41e4-905a-eef013d796ff,台中市,355次瀏覽,五十鈴/Isuzu,S3933148,139萬,N,2萬公里,2021年,白色,N,Not found,台中市潭子區崇德路四段277-3號,雙福汽車,"['中控鎖', 'ABS防鎖死']",3.5363104343414307
